pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
11,Roundtable on Sustainable Palm Oil (RSPO),500GB00003rTUt7YAG,In Progress - Investigation,3/18/2024,4/29/2024,4/29/2024,Colombia,"Mapiripan, Meta",International Animal Rescue,Poligrow Colombia SAS,Oil Palm Growers,,,The Complainant alleges that the Respondent infringed a private property to do a firebreak. The Respondent destroyed part of the forest of the plot of land and this situation has affected the place where the Complainants cattle were located. The Respondent did not comply with a conciliation agreement signed between the parties.,"2025-04-30: Pending a response from the Certification Body for an update on the special audit. 2025-03-26: Pending receipt of an update on the special audit request. 2025-02-26: Pending a response from the Certification Unit on the directive for a Special Audit. 2025-01-22: Pending a response from the Certification Unit on the directive for a Special Audit. 2024-11-27: Pending receipt of further updates from the Certification Body on the recent audit. 2024-10-23: The Secretariat is in the midst of reviewing the response furnished by the Complainant. 2024-09-25: The Secretariat furnished the Complainants response to the Respondent and requested the Respondent to confirm its position on the request for confidentiality of documents. Pending receipt of a response from the Respondent. 2024-08-28: Pending review of the Respondents justification for the request to have confidential information redacted. 2024-07-31: Review of Respondents confidentiality request of documents submitted ongoing. 2024-06-26: The Respondent responded with the requested details by the Secretariat, and the Secretariat is in the midst of reviewing the same. 2024-05-29: The Secretariat notified the Respondent that a Complaint was lodged against it. Pending receipt of a formal response from the Respondent and on whether they wish to proceed with either BE or DSF. 2024-05-14: The Complaint is formally accepted and the same is communicated to both Parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/500GB00003rTUt7YAG/detail,{'case_number': 'RSPO/2024/04/MAM'}
12,Roundtable on Sustainable Palm Oil (RSPO),500GB00003opMTTYA2,Unknown,3/4/2024,4/24/2024,4/24/2024,Indonesia,Kalimantan Barat,Confidential,PT Citra Sawit Cemerlang,Oil Palm Growers,Genting Plantations Berhad,,Allegations revolve around land issues where the Complainant(s) were evicted by the Respondent from their agricultural land. There are elements of intimidation by the Respondent and local authorities in the process of resolving the disagreements on the aforementioned land dispute.The Respondent destroyed the irrigation built by the government.,"2025-04-30: DSF Mediation in progress. 2025-03-26: DSF Mediation in progress. 2025-02-26: DSF Mediation in progress. 2025-01-22: DSF Mediation in progress. Parties mutually agreed to extend the mediation process by 60 working days. 2024-11-27: DSF Mediation in progress. 2024-10-23: The DSF Mediation is on-going. Pre-mediation meeting is scheduled on 24. 10. 2024. 2024-09-25: Both Parties have confirmed and agreed to the Mediation Process Agreement.The DSF Mediation process will proceed accordingly. 2024-08-28: DSF Mediation is in progress. Pending confirmation from both parties on the draft mediation process agreement before any additional steps can be taken. 2024-07-31: Both Parties mutually appointed a DSF Mediator following separate introductory meetings with the available DSF Mediators.In light of the foregoing, DSF Mediation has commenced accordingly. 2024-06-26: Complainant is in the midst of preparing a confirmation letter for their decision to pursue DSF Mediation.Pending receipt of the aforementioned letter. 2024-05-29: The Secretariat received the formal response from the Respondent on 24. 05. 2024. The Respondent has decided to pursue DSF Mediation.Pending a response from the Complainant on their decision for BE/ DSF Mediation. 2024-04-25: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/500GB00003opMTTYA2/detail,{'case_number': 'RSPO/2024/03/LSL'}
13,Roundtable on Sustainable Palm Oil (RSPO),500GB00003op6FqYAI,Closed,2/23/2024,4/16/2024,10/4/2024,Indonesia,,Confidential,PT. Tunggal Mitra Plantation,Oil Palm Growers,SD GUTHRIE BERHAD,,Alleged failure by the Respondent Company to carry out its corporate social responsibility with regard to community empowerment and building a sustainable partnership with the community.,"2024-10-04: The decision letter dated 04. 10. 2024 has been furnished to both parties in this Complaint. The Complaint is now officially closed. 2024-09-25: Draft decision letter furnished to CP for endorsement. 2024-09-18: The CP deliberated and reached a decision. The Secretariat is to draft a decision letter. 2024-09-11: Parties reached an agreement and the same was furnished to the Secretariat.The Secretariat is in the midst of reviewing the same. 2024-08-28: Bilateral Engagement process ongoing. 2024-07-31: Bilateral Engagement process ongoing. 2024-06-26: Bilateral Engagement process ongoing. 2024-06-20: Both Parties have indicated that they would like to pursue Bilateral Engagement.The same was conveyed to the Complaints Panel. The Bilateral Engagement Rules will apply, i. e. 60 working days from the time parties are notified by the Secretariat. 2024-05-29: Pending receipt of formal response from the Respondent.Pending receipt of a response from the Respondent on the use of Bilateral Engagement / DSF Mediation as alternative dispute resolution methods. 2024-04-24: Pending response from the Complainant with regard to confidentiality in the Complaints Form and the contents therein prior to the Secretariat furnishing the same to the Respondent for their formal response. 2024-04-16: Complaint is formally accepted and Parties to the Complaint have been informed.",https://rspo.my.site.com/Complaint/s/case/500GB00003op6FqYAI/detail,{'case_number': 'RSPO/2024/02/RR'}
14,Roundtable on Sustainable Palm Oil (RSPO),500GB00003olqhxYAA,Closed,1/8/2024,2/27/2024,8/6/2024,Indonesia,Kalimantan Timur,Confidential,PT Cipta Davia Mandiri,Oil Palm Growers,R.E.A. Holdings Plc,,The allegation is pertaining to the plasma allocation with the ratio of 80:20 based on the plasma agreement.The affected parties have not received the 20% share of the revenue generated from the plasma land since 2010 till date.,"2024-08-06: The CP's decision letter has been furnished to both Parties to the Complaint. The Complaint is now officially closed. 2024-07-31: The CP deliberated and reached a decision. The Secretariat is to draft a decision letter. 2024-06-26: Third BE meeting proceeded on 25 June 2024.Parties reached an agreement and the same was furnished to the Secretariat.The Secretariat is in the midst of reviewing the same. 2024-05-29: The BE process is in progress.The 2nd BE meeting is scheduled on 30. 05. 2024. 2024-04-24: The BE process is on-going.Parties are in the midst of scheduling the first BE meeting 2024-03-26: Both parties have agreed to enter into a Bilateral Engagement (BE) process. In that regard, the BE process will be activated accordingly. 2024-03-25: The Complaint is adjourned from 22 March 2024 to 25 June 2024 so as to enable the parties to conduct the Bilateral Engagement process.Both parties have been informed. 2024-02-28: The Secretariat is currently in the midst of seeking confirmation from the Complainant on if there is anything in the Complaints Form that requires confidentiality before the same is furnished to the Respondent for a formal response. 2024-02-27: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/500GB00003olqhxYAA/detail,{'case_number': 'RSPO/2024/01/LSL'}
15,Roundtable on Sustainable Palm Oil (RSPO),500GB00003mqZiFYAU,Closed,11/23/2023,1/15/2024,8/26/2024,Indonesia,Sumatera Utara,Confidential,PT Grahadura Leidong Prima,Oil Palm Growers,PT. Bakrie Sumatera Plantations TBK,,The Respondent allegedly has yet to fulfill the commitment to allocate plasma land to the community.,"2024-08-28: The Secretariat communicated the CPs endorsement of the selected independent investigator for the independent investigation to both Parties on 6 August 2024 and sought their confirmation regarding any conflict of interest with the selected investigator. On 12 August 2024, the Secretariat received a letter from the Respondent officially notifying the Secretariat of PT Bakrie Sumatera Plantations Tbks resignation from the RSPO membership. In light of the Respondents resignation, the CP delivered a decision on 26 August 2024, pursuant to section 7. 1. 18 of the RSPO Complaints and Appeals Procedures 2017. 2024-08-26: The Complaints Panel has deliberated and reached a decision. The decision letter has been furnished to both Parties to the Complaint. In line with the Complaints Panel's decision, PT Bakrie Sumatera Plantations Tbk's membership was terminated on 26 August 2024. As such, the Complaint is officially closed. 2024-07-31: The Secretariat received several applications from candidates for the Independent Investigation. Pending review of the proposals submitted. 2024-06-26: The draft Terms of Reference (ToR) for the Independent Investigation was endorsed by the Complaints Panel and the same was furnished to both Parties to the Complaint on 25 June 2024 for their perusal and comments on or before 10 July 2024. 2024-05-29: Following the meeting between the parties and the Mediators, no mutual agreement was reached between the parties on the option of Bilateral Engagement or DSF mediation. In light of the above, the Secretariat proceeded with the investigation process in accordance with the CPs initial directive. Pending preparation of the draft ToR for the Independent Investigation. 2024-04-24: Both Parties agreed to pursue DSF mediation and the Secretariat scheduled the introductory meeting between the mediators and the Parties separately. The investigation process will be adjourned pending the outcome of the DSF mediation process. 2024-03-26: The Respondent furnished its formal response to the allegations to the Complaint on 29 February 2024 and the same was furnished to the Complainant for their perusal. The Complainant furnished its comments by way of a formal letter to the Respondents formal response on 6 March 2024 and the same was furnished to the Respondent. The CP directed the Secretariat to appoint an Independent Investigator to conduct an independent investigation to verify the allegations raised in the Complaint, with opportunity given to parties to consider resolving the dispute by way of Bilateral Engagement or DSF Mediation. 2024-02-28: Pending receipt of a formal response to the allegations from the Respondent. Follow-up emails on the request were sent on 15. 02. 2024, 19. 02. 2024, and 26. 02. 2024 respectively. 2024-01-31: Pending receipt of a formal response to the allegations from the Respondent. Pending response from the Respondent as to whether they would consider resolving the dispute by way of DSF mediation or Bilateral Engagement process. 2024-01-15: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/500GB00003mqZiFYAU/detail,{'case_number': 'RSPO/2023/15/HN'}
16,Roundtable on Sustainable Palm Oil (RSPO),5000o00003mpzsXAAQ,Closed,11/14/2023,1/17/2024,8/8/2024,Indonesia,East Kalimantan,Confidential,PT Cipta Davia Mandiri,Oil Palm Growers,R.E.A. Holdings Plc,,The Respondents development and allocation of plasma plantations are not in accordance with the agreement or MoU with the community of Kelinjau Ulu Village.,"2024-08-08: The appeal submission period has expired. The Complaint is formally closed. 2024-07-31: Pending expiry of the appeals period. 2024-06-26: Pending expiry of the appeals period. 2024-05-29: Pending expiry of the appeals period. 2024-05-15: The Complaints Panel has deliberated and reached a decision. The decision letter has been furnished to both Parties to the Complaint. Pending expiry of the appeals period. 2024-04-24: The CP has deliberated on the Complaint. Pending preparation of the draft decision letter. 2024-03-26: The Secretariat sought further information from the Respondent and the Respondent provided the necessary clarification by way of email on 7 March 2024. The Secretariat re-furnished the Respondents formal response to the Complainant. No comments received from the Complainant. The Secretariat furnished the Interim Briefing Note to the CP and sought the CPs directive on the way forward.Pending deliberation by the CP members. 2024-02-28: The formal response to the allegations was furnished by the Respondent and the same was furnished to the Complainant with a deadline to respond on 27 February 2024. No response received from the Complainant. Upon reviewing the Respondents formal response, the Secretariat is to seek further clarification from the Respondent. 2024-01-31: Pending receipt of a formal response to the allegations from the Respondent. 2024-01-17: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/5000o00003mpzsXAAQ/detail,{'case_number': 'RSPO/2023/14/HN'}
17,Roundtable on Sustainable Palm Oil (RSPO),5000o00003kCEJSAA4,Closed,8/3/2023,9/19/2023,3/25/2025,Indonesia,Kota Dumai Provinsi Riau,Hidayat Rasyid,PT. SARI DUMAI SEJATI,Processors and/or Traders,AAA Oils & Fats Pte. Ltd.,,"The Complainant is a representative of a community, and the Respondent is a Crude Palm Oil producer.Allegations are with regards to unsustainable operations at the Respondents plant, causing severe air and noise pollution, disrupting and affecting the daily lives of the community.",2025-03-26: Appeals period has expired. No Appeal was lodged.This Complaint is now closed. 2025-03-25: The Appeal's submission period has expired. This Complaint is formally closed. 2025-02-26: Pending expiry of Appeals Period. 2025-01-22: Decision delivered.Pending expiry of Appeals Period. 2024-12-20: The CP's decision letter has been furnished to both Parties to the Complaint. 2024-11-27: The Complaints Panel has deliberated and has instructed the Secretariat to proceed with the drafting of the decision letter. 2024-10-23: Pending submission of Briefing Note to the CP for deliberation. 2024-09-25: The Secretariat is in the midst of drafting an updated Briefing Note.Pending receipt of further documentation from the Respondent. 2024-08-28: The Secretariat is in the midst of preparing the Briefing Note for the CPs perusal.Pending receipt of additional documents from the Respondent. 2024-07-31: The Complaints Panel has directed the Secretariat to request for further documentation from the Respondent for deliberation. 2024-06-26: Pending further clarification from Respondent on the Complaints Panels queries. 2024-05-29: Interim Briefing Note furnished to the CP for their perusal and deliberations on 13. 05. 2024.The CP has requested for further clarification from the Respondent based on the Interim Briefing Note. 2024-04-24: The Secretariat is in the midst of collating all the documents and information provided by both parties in the form of a Briefing Note for the Complaints Panels deliberation. 2024-03-26: The Secretariat is in the midst of collating all information and documentation provided by parties. The same will be furnished to the Complaints Panel by way of email for the Complaints Panels deliberation. 2024-02-28: The Complaints Panel has been briefed by the Secretariat on the responses provided by both parties on the allegations raised in this Complaint.The Complaints Panel has directed the Secretariat to request for further documentation and explanation from the Respondent pertaining to the allegations. 2024-01-31: The Secretariat received the Respondents 2nd response on 26. 01. 2024 with the complete enclosures for the same furnished on 30. 01. 2024.The Secretariat is in the midst of reviewing the Respondents 2nd response. 2023-11-29: The Secretariat is in the midst of perusing the Complainants response to the Respondents formal response. 2023-10-25: The Respondent furnished its formal response on 24. 10. 2023.The Secretariat is in the midst of reviewing the same. 2023-09-25: The Complaint has been formally accepted and the same has been communicated to both parties to the Complaint.,https://rspo.my.site.com/Complaint/s/case/5000o00003kCEJSAA4/detail,{'case_number': 'RSPO/2023/12/RR'}
18,Roundtable on Sustainable Palm Oil (RSPO),5000o00003hpvbkAAA,Closed,5/19/2023,6/21/2023,12/11/2023,Indonesia,North Sumatera,Federasi Logam Mesin Industri Elektrik dan Elektronik (F LOMENIK),PT. Barumun Agro Sentosa,Oil Palm Growers,,,The allegations raised in the Complaint are as follows: --The Respondent did not respond to the Unions requests for a hearing and bipartite meeting on the matter pertaining to the freedom of association;- The Respondent interrogated the members of F LOMENIK (hereinafter referred to as the Union) and intimidated its workers into resigning from the Union;- The Respondent restricted the Union from conducting its activity by issuing a letter prohibiting the Union from distributing groceries to its members (in conjunction of May Day); and- The Respondent transferred the Unions Chairman and Secretary to a different company. The Complainant alleges that the transfers were not in accordance with the applicable laws and regulations and asserted that it is a deliberate act from the Respondent to obstruct the Unions activity.,"2023-12-11: The CP's decision letter has been furnished to both Parties to the Complaint. The Complaint is now officially closed. 2023-11-29: Both Parties in the Complaint have successfully reached an agreement by way of Bilateral Engagement (BE) and the said agreement was furnished to the Secretariat on 6 November 2023. As a result of the agreement, the Complainant withdrew the Complaint by way of a formal withdrawal letter dated 10 November 2023. The Secretariat furnished the BE agreement and the withdrawal letter to the CP. Pending a further directive from the CP. 2023-10-25: Bilateral Engagement process ongoing.Pending receipt of the finalised ASA report from the CB. 2023-09-26: Bilateral Engagement process ongoing.Pending receipt of the finalised ASA report from the CB. 2023-08-30: Bilateral Engagement process ongoing with a deadline of until 14. 11. 2023. The Secretariat through the Certification Unit has referred the Complaint to the Certification Body (CB) for verification. Pending receipt of audit report from the CB. 2023-07-26: The Respondent furnished its formal response to the allegations on 06. 07. 2023 and the same was furnished to the Complainant. The Respondent has indicated that they would like to resolve this dispute by way of Bilateral Engagement. The Respondent updated the Secretariat that a meeting with the Complainant was carried out on 13. 07. 2023 and the minutes of the meeting were furnished to the Secretariat. The Secretariat sought for a meeting with the Complainant should they require further clarity on the available mechanisms to resolve the dispute. Pending a response and confirmation from the Complainant on the available dates for the meeting. 2023-06-28: The Complaint has been formally accepted and the same was communicated to both Parties on 22. 06. 2023. The Secretariat has furnished all relevant documents and the details of the allegations to the Respondent. Pending receipt of a formal response from the Respondent. 2023-06-22: The Complaint has been formally accepted and the same has been communicated to both parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/5000o00003hpvbkAAA/detail,{'case_number': 'RSPO/2023/08/HN'}
19,Roundtable on Sustainable Palm Oil (RSPO),5000o00003hq2YiAAI,In Progress - Investigation,5/16/2023,7/4/2023,7/4/2023,Ecuador,Provincia de Esmeraldas,Confidential,Energy Palma S.A.,Oil Palm Growers,HOLDING LA FABRIL S.A. HOLDINGFABRIL,,Decrease of the number of workers in a union due to actions of the Respondent. Preventing the Union from conducting its activity. Wrongful dismissal or termination of employment.Bad working conditions. No supply of work equipment ( such as tools).,"2025-04-30: Pending submission of the Briefing Note to the Complaints Panel for deliberations. 2025-03-26: The Secretariat is in the midst of preparing the Briefing Note for the CPs deliberation. 2025-02-26: Pending further updates from the CB to the Certification Unit. 2025-01-22: Pending further updates from the CB. 2024-11-27: Pending receipt of further updates from the Certification Body on the recent audit. 2024-10-23: Pending receipt of the latest audit report from the Certification Body. 2024-09-25: The Special Audit report was furnished to the parties for their perusal and comments. Both parties have responded with their comments.The Secretariat is in the midst of reviewing the responses. 2024-08-28: The Secretariat has received the Special Audit Report and is currently reviewing the same. 2024-07-31: Pending receipt of Special Audit report from CB. 2024-06-26: The Certification Unit has received the directive to refer to the CB to perform a special audit. Pending performance of the special audit by the CB. 2024-05-29: The CP has considered directing the Secretariat to proceed with a special audit. 2024-04-24: The Secretariat is in the midst of reviewing all the information and evidence presented by each party. 2024-03-26: The Secretariat received the response from the Respondent. The Secretariat requested the Respondent to confirm if there is any information which is to be deemed as confidential. A redacted version of the Respondents documents have been furnished to the Respondent for their agreement. Pending a response from the Respondent. 2024-02-28: The Secretariat furnished the Respondent the answer presented by the Complainant (subject to confidentiality and protection of identity where applicable). The Respondent has requested for an extension of time in order to provide their response, which has been granted. 2024-01-31: The Secretariat is in the midst of reviewing the information presented by the Complainant. 2023-11-29: The Respondent requested for protection/confidentiality of the information related to personal data in its formal response. Pending receipt of confirmation from the Respondent on the redacted formal response. 2023-10-25: The Secretariat has requested the Respondent to provide clarification on the evidence submitted to the Secretariat.Pending receipt of clarification from the Respondent. 2023-09-26: The Respondent has not responded with a confirmation on if they wish to proceed with DSF mediation. Parties will be informed that investigations will proceed in accordance with the requirements of the Complaints and Appeals Procedures 2017. 2023-08-30: Both parties have expressed interest in accessing the DSF mechanism.Pending receipt of confirmation from the Respondent. 2023-07-26: Parties have been updated on the formal acceptance of the Complaint. Pending receipt of a formal response from the Respondent. 2023-07-04: The Initial Diagnosis is endorsed by the CP. The Complaint is formally accepted.",https://rspo.my.site.com/Complaint/s/case/5000o00003hq2YiAAI/detail,{'case_number': 'RSPO/2023/09/MAM'}
20,Roundtable on Sustainable Palm Oil (RSPO),5000o00003ed3cTAAQ,Closed,4/10/2023,5/31/2023,3/20/2024,Indonesia,Kalimantan Barat,Confidential,PT BUMITAMA GUNAJAYA AGRO,Oil Palm Growers,BUMITAMA AGRI LTD,,"The Respondent is alleged to have conducted land clearing outside of the boundaries of their Hak Guna Usaha (HGU) land into the affected individuals land for the purpose of the development of a palm oil plantation. The Respondent is alleged to have filed a police report against the affected individuals which led to them obtaining the status as suspects by the police force, as a result of the individuals protesting against the Respondents alleged land clearing activities.","2025-03-27: Upon deliberations, the CP formally closed the PCM on 27. 03. 2025. 2025-03-26: The CP is deliberating on the closure of the PCM period as parties have achieved an amicable resolution. 2025-02-26: The parties fully signed settlement agreement, dated 30. 01. 2025, has been submitted to the CP for their perusal and deliberations. 2025-02-07: Parties met on 30 January 2025 at the Secretariat's Jakarta office to finalise an agreement. On 7 February 2025, they requested the CP to extend the Post-Complaint's Monitoring period to 14 February 2025. This is pending the CP's directive. 2025-01-22: The CP on 08. 01. 2025 agreed to extend the Post-Complaints Monitoring period until 31. 01. 2025. The Secretariat will update the CP accordingly. 2024-12-31: The parties furnished their progress report for the month of December 2024 on 30 December 2024 to the Secretariat. The PCM period expired on 30 December 2024. However, the parties have requested the CP to extend the PCM period by one month. This is pending the CP's directive. 2024-11-27: The parties PCM monthly progress update for November 2024 has been uploaded onto the case tracker. The Respondent has confirmed that they are scheduling a physical meeting with the Complainant to be held at the beginning of December 2024 and has invited the Secretariat to attend the meeting. 2024-11-26: The parties furnished their progress report for the month of November 2024 on 25 November 2024 to the Secretariat. 2024-10-23: The parties will plan to hold a meeting to discuss alternative options to attempt to amicably resolve this Complaint. The parties have provided their PCM progress update for October 2024. The Secretariat has uploaded this progress update to the case tracker. 2024-10-21: The parties furnished their progress report for the month of October 2024 on 18 October 2024 to the Secretariat. 2024-09-25: The parties met in Pontianak on 30. 08. 2024 to negotiate their updated settlement proposals. The parties agreed upon and finalised their Terms of Reference for negotiations during the said meeting. On 20. 09. 2024, the parties furnished the Secretariat with their PCM progress report for the month of September 2024 which has been uploaded on the case tracker. The Respondent furnished their settlement counteroffer to the Complainant on 25. 09. 2024 which is now pending the Complainants comments. 2024-09-23: The parties furnished their progress report for the month of September 2024 on 20 September 2024 to the Secretariat. 2024-08-28: The parties met at the Secretariats Jakarta office on 15 August 2024 to engage in amicable discussions.The parties will meet again for continued talks in Pontianak on 30 August 2024, which will also be attended by the Secretariat. The parties furnished their PCM progress report for the month of August 2024 to the Secretariat on 23 August 2024. 2024-08-23: The parties furnished their progress report for the month of August 2024 on 23 August 2024 to the Secretariat. 2024-07-31: On 19 July 2024, the Secretariat received the Parties Post-Complaints Monitoring progress report for the month of July 2024. On 25 July 2024, the Secretariat facilitated a consultation meeting requested by the parties at the Secretariats Jakarta office. An action plan in an attempt to achieve an amicable resolution was formulated and agreed upon by the Parties. The CP members agreed to extend the parties Post-Complaints Monitoring period to 16 December 2024 so that the Parties may carry out their action plan. 2024-07-23: The parties furnished their progress report for the month of July 2024 on 19 July 2024 to the Secretariat. 2024-06-28: The parties furnished their minutes of meetings (dated 4 June 2024 and dated 20 June 2024) on their implementation of direct negotiations under Post-Complaint's Monitoring. 2024-06-26: Pending clarifications from the Respondent on the Secretariats queries regarding the progress update for June 2024. 2024-05-29: The parties have furnished their progress update for the month of May 2024 on 24. 05. 2024 to the Secretariat, which is available on the case tracker. 2024-05-27: The parties furnished their periodic progress report for the month of May 2024 (dated 22 May 2024) on their implementation of direct negotiations under Post-Complaint's Monitoring. 2024-04-24: The parties progress update for the month of April 2024 was furnished to the Secretariat on 22 April 2024. 2024-04-22: The parties furnished their periodic progress report for the month of April 2024 (dated 22 April 2024) on their implementation of direct negotiations under Post-Complaint's Monitoring. 2024-04-01: The parties furnished their periodic progress report for the month of March 2024 (dated 22 March 2024) on their implementation of direct negotiations under Post-Complaint's Monitoring. 2024-03-26: The Secretariat has received the monthly update for March 2024 from the Respondent, which has been signed by both the Complainant and the Respondent.Pending confirmation from the Complainant on its agreement to the contents of the update. 2024-03-20: The CP decision letter was issued on 20 March 2024. This Complaint is therefore closed and placed under Post-Complaints Monitoring (PCM) until 15 August 2024, as per the parties' minutes of Bilateral Engagement meeting agreed on 16 February 2024. Each party shall furnish monthly updates to the Secretariat on the progress of their attempt to resolve their issues amicably during the PCM period. 2024-02-28: The parties have concluded the Bilateral Engagement process on 16. 02. 2024 and the CPs decision letter is being prepared. 2024-01-31: The parties are in the final stages of the Bilateral Engagement process which is due to end on 9 February 2024 unless extended. 2023-11-29: Bilateral Engagement process ongoing until 09. 02. 2024. 2023-10-25: The CP has agreed to extend the Bilateral Engagement period until 09. 02. 2024 as mutually requested by parties. Bilateral Engagement process ongoing. 2023-09-26: The parties requested the CP to extend the BE period for one month to facilitate a land tenure study to be conducted by a third-party Consultant (i. e. until 04. 11. 2023). The CP granted the BE period extension as mutually requested by the parties. 2023-09-08: On 07 September 2023, upon request from both the parties, the CP has approved the extension of the Bilateral Engagement period till 04 November 2023. 2023-08-30: The parties have agreed to appoint a third party consultant to conduct a land tenure study on the affected land during the remaining Bilateral Engagement (BE) period in order to have a clearer basis for attempting to reach a settlement. The parties will furnish the Secretariat with the minutes of the most recent Bilateral Engagement (BE) meeting. 2023-07-26: The first Bilateral Engagement meeting was held on 24. 07. 2023 by the parties in Pontianak, Indonesia, and the Secretariat attended virtually as an observer. The Bilateral Engagement process will carry on until 04. 10. 2023. 2023-07-11: The Complaint is adjourned by the Complaints Panel from 10 July 2023 to 4 October 2023 so as to enable the parties to conduct the Bilateral Engagement process.Both parties have been informed. 2023-06-28: The Secretariat informed the parties that the Complainants allegations have been formally accepted by the CP. The Complainant then confirmed its willingness to attempt to resolve this Complaint through the Bilateral Engagement process. The Secretariat furnished the Complainants Complaint Form and supporting documents to the Respondent. The Respondent has until 05. 07. 2023 to confirm to the Secretariat on whether it wishes to utilise Bilateral Engagement or DSF Mediation to resolve this Complaint, and to provide its formal response to the Complainants allegations. 2023-06-15: The Complaint has been formally accepted and the same has been communicated to both parties to the Complaint.",https://rspo.my.site.com/Complaint/s/case/5000o00003ed3cTAAQ/detail,{'case_number': 'RSPO/2023/04/RH'}
